model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
gemma-3-12b-it,summarization,0.05,8,128,0.0625,9120,9120,1200,3,0.912365,0.68755,0.296237,0.391313
gemma-3-12b-it,summarization,0.05,16,128,0.125,9120,9120,1200,3,0.959619,0.847277,0.521013,0.326263
gemma-3-12b-it,summarization,0.05,24,128,0.1875,9120,9120,1200,3,0.973617,0.905676,0.676769,0.228907
gemma-3-12b-it,summarization,0.05,32,128,0.25,9120,9120,1200,3,0.983891,0.948221,0.799481,0.14874
gemma-3-12b-it,summarization,0.05,48,128,0.375,9120,9120,1200,3,0.995556,0.986032,0.940981,0.045052
gemma-3-12b-it,summarization,0.05,64,128,0.5,9120,9120,1200,3,1.0,0.999788,0.998563,0.001225
gemma-3-12b-it,summarization,0.05,96,128,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,128,128,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,summarization,0.05,2,256,0.0078,9120,9120,1200,3,0.724282,0.551976,0.077363,0.474612
gemma-3-12b-it,summarization,0.05,4,256,0.0156,9120,9120,1200,3,0.849891,0.49681,0.104723,0.392087
gemma-3-12b-it,summarization,0.05,8,256,0.0312,9120,9120,1200,3,0.91628,0.655039,0.207171,0.447868
gemma-3-12b-it,summarization,0.05,16,256,0.0625,9120,9120,1200,3,0.948452,0.805836,0.376878,0.428957
gemma-3-12b-it,summarization,0.05,24,256,0.0938,9120,9120,1200,3,0.962304,0.872536,0.490369,0.382167
gemma-3-12b-it,summarization,0.05,32,256,0.125,9120,9120,1200,3,0.973357,0.908657,0.580417,0.32824
gemma-3-12b-it,summarization,0.05,48,256,0.1875,9120,9120,1200,3,0.982959,0.945088,0.726427,0.218661
gemma-3-12b-it,summarization,0.05,64,256,0.25,9120,9120,1200,3,0.99003,0.967086,0.827644,0.139442
gemma-3-12b-it,summarization,0.05,96,256,0.375,9120,9120,1200,3,0.996499,0.991471,0.954885,0.036586
gemma-3-12b-it,summarization,0.05,128,256,0.5,9120,9120,1200,3,1.0,0.999943,0.999624,0.000319
gemma-3-12b-it,summarization,0.05,2,384,0.0052,9120,9120,1200,3,0.687426,0.579662,0.062115,0.517547
gemma-3-12b-it,summarization,0.05,4,384,0.0104,9120,9120,1200,3,0.862974,0.53234,0.081174,0.451167
gemma-3-12b-it,summarization,0.05,8,384,0.0208,9120,9120,1200,3,0.909962,0.665953,0.170024,0.495929
gemma-3-12b-it,summarization,0.05,16,384,0.0417,9120,9120,1200,3,0.952537,0.794462,0.303969,0.490493
gemma-3-12b-it,summarization,0.05,24,384,0.0625,9120,9120,1200,3,0.964387,0.863643,0.403265,0.460378
gemma-3-12b-it,summarization,0.05,32,384,0.0833,9120,9120,1200,3,0.971519,0.896855,0.479418,0.417437
gemma-3-12b-it,summarization,0.05,48,384,0.125,9120,9120,1200,3,0.980883,0.932218,0.603076,0.329143
gemma-3-12b-it,summarization,0.05,64,384,0.1667,9120,9120,1200,3,0.985987,0.951657,0.699981,0.251676
gemma-3-12b-it,summarization,0.05,96,384,0.25,9120,9120,1200,3,0.991818,0.973884,0.836099,0.137785
gemma-3-12b-it,summarization,0.05,128,384,0.3333,9120,9120,1200,3,0.995433,0.987539,0.928118,0.059421
gemma-3-12b-it,summarization,0.05,2,512,0.0039,9120,9120,1200,3,0.743225,0.597703,0.056013,0.541691
gemma-3-12b-it,summarization,0.05,4,512,0.0078,9120,9120,1200,3,0.844114,0.513765,0.079736,0.434029
gemma-3-12b-it,summarization,0.05,8,512,0.0156,9120,9120,1200,3,0.910103,0.650498,0.146811,0.503687
gemma-3-12b-it,summarization,0.05,16,512,0.0312,9120,9120,1200,3,0.941661,0.779988,0.265832,0.514157
gemma-3-12b-it,summarization,0.05,24,512,0.0469,9120,9120,1200,3,0.958725,0.851401,0.353769,0.497632
gemma-3-12b-it,summarization,0.05,32,512,0.0625,9120,9120,1200,3,0.965395,0.881996,0.42182,0.460176
gemma-3-12b-it,summarization,0.05,48,512,0.0938,9120,9120,1200,3,0.974888,0.916366,0.529753,0.386613
gemma-3-12b-it,summarization,0.05,64,512,0.125,9120,9120,1200,3,0.981886,0.937541,0.615823,0.321718
gemma-3-12b-it,summarization,0.05,96,512,0.1875,9120,9120,1200,3,0.989583,0.962182,0.747864,0.214317
gemma-3-12b-it,summarization,0.05,128,512,0.25,9120,9120,1200,3,0.99289,0.976658,0.84816,0.128498
