model,task,arm,N,pr_frac,entropy,gini,top1_share,cap0.01,cap0.02,cap0.03,cap0.05,cap0.07,cap0.1,cap0.15,cap0.2,cap0.3,cap0.5
Qwen1.5-14B-Chat,bias,long,1600,0.1964635894625834,0.8284248174759629,0.7852528698685832,0.013233409103440183,0.12809674524538156,0.21581723896093014,0.2865904526619194,0.39864383190869335,0.4890944190584395,0.596677008814755,0.7261827233567845,0.8150541501958951,0.9297917781794007,1.0000000000000002
Qwen1.5-14B-Chat,bias,single,1600,0.24261361024143727,0.8501566338686112,0.7471304154603071,0.0096939809925926,0.10643901508810416,0.17921830065808994,0.23965507400580005,0.3408230007948959,0.42368626949571037,0.5284207832352851,0.663726275776701,0.762533184891407,0.8943756351760757,0.9990596742389974
Qwen1.5-14B-Chat,factual recall,long,1600,0.24861050834333764,0.8486321144744134,0.7512815517930578,0.008681769227078707,0.0938795567607112,0.1683962460969476,0.23278340190134195,0.33741741199914926,0.4251345698201381,0.5316571820171974,0.6689789379144303,0.7681549075898816,0.9040423206474804,0.9999126855891577
Qwen1.5-14B-Chat,factual recall,single,1600,0.2752766055382471,0.8594320122994961,0.7299154444311635,0.007117605476824278,0.08944323973564183,0.1531629056893685,0.20921937497612467,0.3057255202859726,0.38748885667280886,0.49223907317093285,0.6299349368046854,0.7384936537907925,0.8879335823049067,0.9975154140889295
Qwen1.5-14B-Chat,persona,long,1600,0.23650354602594287,0.8471128051272648,0.7545006438402326,0.007833164920754703,0.1062021893671109,0.18279788416473478,0.24635088053571275,0.35256599140913536,0.44056247639495905,0.5465030622787715,0.6772386238680258,0.7732775678068874,0.9015604569702623,0.9981696870388715
Qwen1.5-14B-Chat,persona,single,1600,0.23603445487563746,0.843916242689667,0.7610627609048957,0.00729861850106017,0.09922756999773949,0.1769486750481326,0.24343928386369623,0.35529839581036,0.44449834217496853,0.5536589280170197,0.6882243803762886,0.7842371762337993,0.9103267611112,0.9997054173977872
Qwen1.5-14B-Chat,summarization,long,1600,0.22685251213674756,0.8397000212620208,0.7669689882322224,0.011852161944391827,0.10540823599353329,0.18334738352298932,0.24975617589669732,0.3626001120581136,0.4499439868305374,0.5564177582412679,0.6915941817908493,0.7893475158892844,0.9198456656929592,0.9999999999999998
Qwen1.5-14B-Chat,summarization,single,1600,0.31051707815604795,0.8746905770241784,0.6965457903375578,0.0057003288748108125,0.0780544522922822,0.14092050684368487,0.19466021878944847,0.2845522756132695,0.3610679847679513,0.45719993584863405,0.5874707697915308,0.6918919853847539,0.8439516807304746,0.9879712095578139
Qwen1.5-14B-Chat,verse,long,1600,0.2161690243883056,0.8449252030941657,0.7551167681024928,0.014150733589029898,0.12576305681854147,0.20287260952480882,0.2684362668518353,0.36958328873719776,0.4511723761691583,0.552743628652237,0.6800833541550989,0.7733292722108722,0.8938628355898784,0.9974312921436391
Qwen1.5-14B-Chat,verse,single,1600,0.23309683352443497,0.8389663451686163,0.7674014598123615,0.010244222261561225,0.10316620553267829,0.17582989660235088,0.23865291276160314,0.3460353076000433,0.43519337757121157,0.5445350452257299,0.6879293468795464,0.7946993862244417,0.9270506470413502,0.9999999999999998
