model,task,group,part,value,control,excess
Qwen1.5-14B-Chat,bias,ST-only,B_capture_1st,0.0988354380759928,0.09444444444444444,0.004390993631548351
Qwen1.5-14B-Chat,factual recall,LF-only,A_contrast,-0.04040796345701553,-0.03979158667656341,-0.0006163767804521145
Qwen1.5-14B-Chat,factual recall,ST-only,A_contrast,-0.08379929958200388,0.035823327743101256,-0.11962262732510515
Qwen1.5-14B-Chat,factual recall,LF-only,B_capture_2nd,0.09716415956477906,0.09605263157894738,0.0011115279858316812
Qwen1.5-14B-Chat,factual recall,LF-only,B_capture_1st,0.09530176369375304,0.09605263157894738,-0.0007508678851943368
Qwen1.5-14B-Chat,factual recall,ST-only,B_capture_2nd,0.13831624118981886,0.10138888888888889,0.03692735230092997
Qwen1.5-14B-Chat,factual recall,ST-only,B_capture_1st,0.10712096405526002,0.10138888888888889,0.005732075166371128
Qwen1.5-14B-Chat,persona,LF-only,A_contrast,0.15017222674556016,0.14655164599007806,0.0036205807554821057
Qwen1.5-14B-Chat,persona,ST-only,A_contrast,0.1519598808827939,0.15413200715220218,-0.00217212626940827
Qwen1.5-14B-Chat,persona,LF-only,B_capture_2nd,0.11641352155809945,0.11333333333333333,0.00308018822476612
Qwen1.5-14B-Chat,persona,LF-only,B_capture_1st,0.11453494938711326,0.11333333333333333,0.0012016160537799275
Qwen1.5-14B-Chat,persona,ST-only,B_capture_2nd,0.10556169844703223,0.10625,-0.0006883015529677711
Qwen1.5-14B-Chat,persona,ST-only,B_capture_1st,0.10362832655664533,0.10625,-0.0026216734433546635
Falcon3-10B-Instruct,verse,LF-only,A_contrast,-0.05903981075108021,-0.0580391197670555,-0.0010006909840247075
Falcon3-10B-Instruct,verse,ST-only,A_contrast,-0.04952151525171024,-0.04562410752154198,-0.0038974077301682578
Falcon3-10B-Instruct,verse,LF-only,B_capture_2nd,0.19196190528047746,0.19166666666666665,0.00029523861381081096
Falcon3-10B-Instruct,verse,LF-only,B_capture_1st,0.19433810338377952,0.19166666666666665,0.0026714367171128683
Falcon3-10B-Instruct,verse,ST-only,B_capture_2nd,0.1300076148207457,0.11979166666666666,0.01021594815407903
Falcon3-10B-Instruct,verse,ST-only,B_capture_1st,0.12963225040584803,0.11979166666666666,0.009840583739181369
Falcon3-10B-Instruct,summarization,LF-only,A_contrast,-0.05186721568663469,-0.053742020802588636,0.001874805115953948
Falcon3-10B-Instruct,summarization,ST-only,A_contrast,-0.04614397200649926,-0.015623260592362437,-0.03052071141413682
Falcon3-10B-Instruct,summarization,LF-only,B_capture_2nd,0.18552882484446662,0.18333333333333332,0.002195491511133296
Falcon3-10B-Instruct,summarization,LF-only,B_capture_1st,0.17523471936583518,0.18333333333333332,-0.008098613967498142
Falcon3-10B-Instruct,summarization,ST-only,B_capture_2nd,0.19394054845535136,0.16666666666666666,0.0272738817886847
Falcon3-10B-Instruct,summarization,ST-only,B_capture_1st,0.18814458359371533,0.16666666666666666,0.021477916927048674
OLMo-2-1124-13B-DPO,verse,LF-only,A_contrast,-0.0754191966782067,-0.07513875048651823,-0.0002804461916884743
OLMo-2-1124-13B-DPO,verse,ST-only,A_contrast,-0.05601977209014221,-0.05660018393894847,0.0005804118488062643
OLMo-2-1124-13B-DPO,verse,LF-only,B_capture_2nd,0.11010207028531739,0.10625,0.003852070285317394
OLMo-2-1124-13B-DPO,verse,LF-only,B_capture_1st,0.10714718222152442,0.10625,0.0008971822215244202
OLMo-2-1124-13B-DPO,verse,ST-only,B_capture_2nd,0.08939375508353423,0.08947368421052632,-7.992912699208987e-05
OLMo-2-1124-13B-DPO,verse,ST-only,B_capture_1st,0.08866103120932453,0.08947368421052632,-0.0008126530012017852
OLMo-2-1124-13B-DPO,summarization,LF-only,A_contrast,-0.04808559333106164,0.003176431784780512,-0.05126202511584215
OLMo-2-1124-13B-DPO,summarization,ST-only,A_contrast,-0.025511553983310568,-0.014970396394901511,-0.010541157588409057
OLMo-2-1124-13B-DPO,summarization,LF-only,B_capture_2nd,0.11648407882282356,0.12,-0.0035159211771764315
OLMo-2-1124-13B-DPO,summarization,LF-only,B_capture_1st,0.1222106638054053,0.12,0.0022106638054052996
OLMo-2-1124-13B-DPO,summarization,ST-only,B_capture_2nd,0.11459038510947263,0.1125,0.0020903851094726256
OLMo-2-1124-13B-DPO,summarization,ST-only,B_capture_1st,0.1124202823266387,0.1125,-7.97176733613042e-05
OLMo-2-1124-13B-DPO,bias,LF-only,A_contrast,0.06804397277723921,0.02993027074582072,0.03811370203141849
OLMo-2-1124-13B-DPO,bias,ST-only,A_contrast,0.07621861787946854,0.07349037210183378,0.0027282457776347663
OLMo-2-1124-13B-DPO,bias,LF-only,B_capture_2nd,0.0977572103015196,0.09722222222222222,0.0005349880792973744
OLMo-2-1124-13B-DPO,bias,LF-only,B_capture_1st,0.09863611093411843,0.09722222222222222,0.0014138887118962107
OLMo-2-1124-13B-DPO,bias,ST-only,B_capture_2nd,0.09362997821462377,0.09210526315789475,0.0015247150567290202
OLMo-2-1124-13B-DPO,bias,ST-only,B_capture_1st,0.09299837846897151,0.09210526315789475,0.0008931153110767615
OLMo-2-1124-13B-DPO,persona,LF-only,A_contrast,0.10091772613348862,0.1017048116457822,-0.0007870855122935755
OLMo-2-1124-13B-DPO,persona,ST-only,A_contrast,0.11892629044790372,0.12162261588676164,-0.0026963254388579216
OLMo-2-1124-13B-DPO,persona,LF-only,B_capture_2nd,0.0996537101304039,0.09861111111111111,0.0010425990192927947
OLMo-2-1124-13B-DPO,persona,LF-only,B_capture_1st,0.10424845158639881,0.09861111111111111,0.005637340475287703
OLMo-2-1124-13B-DPO,persona,ST-only,B_capture_2nd,0.09811600778000473,0.09861111111111111,-0.0004951033311063752
OLMo-2-1124-13B-DPO,persona,ST-only,B_capture_1st,0.097693238614334,0.09861111111111111,-0.0009178724967771057
Qwen1.5-32B-Chat,verse,LF-only,A_contrast,-0.025437665660140364,-0.02551827120986154,8.060554972117578e-05
Qwen1.5-32B-Chat,verse,ST-only,A_contrast,-0.023709543233702036,-0.0238750469182501,0.00016550368454806494
