model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
Qwen1.5-14B-Chat,factual recall,long,0.5,long,800,0.8179688800126315,-1.1599234234541655,-1.3539993431419137,0.037411672908577165,0.19407591968774818
Qwen1.5-14B-Chat,factual recall,long,0.5,single,800,0.8179688800126315,-1.1925662208348513,-1.2177947493890922,0.05533282925256377,0.025228528554240848
Qwen1.5-14B-Chat,persona,long,0.05,long,80,0.5293591439723968,-0.021089532971382052,-0.03548997764786079,0.021238798407154903,0.01440044467647874
Qwen1.5-14B-Chat,persona,long,0.05,single,80,0.5293591439723968,-0.020439389348030024,-0.042976633210976854,0.04095529582534274,0.02253724386294683
Qwen1.5-14B-Chat,persona,long,0.1,long,160,0.5293591439723968,-0.038261044025421076,-0.06334427172938976,0.02629560665160231,0.02508322770396869
Qwen1.5-14B-Chat,persona,long,0.1,single,160,0.5293591439723968,-0.08778729438781735,-0.10796739608049388,0.02531293996093167,0.020180101692676533
Qwen1.5-14B-Chat,persona,long,0.2,long,320,0.5293591439723968,-0.140530315041542,-0.1281786774595578,0.02063626654857685,-0.01235163758198421
Qwen1.5-14B-Chat,persona,long,0.2,single,320,0.5293591439723968,-0.17406544685363767,-0.16785774081945415,0.03975198264549619,-0.006207706034183524
Qwen1.5-14B-Chat,persona,long,0.3,long,480,0.5293591439723968,-0.1695790290832519,-0.19540794740120568,0.02216443699153307,0.02582891831795378
Qwen1.5-14B-Chat,persona,long,0.3,single,480,0.5293591439723968,-0.21937339752912516,-0.19637741893529884,0.024702308153201697,-0.02299597859382632
Qwen1.5-14B-Chat,persona,long,0.5,long,800,0.5293591439723968,-0.23909489512443538,-0.22623327970504756,0.020547340789472592,-0.012861615419387823
Qwen1.5-14B-Chat,persona,long,0.5,single,800,0.5293591439723968,-0.2551142886281013,-0.28578052620093025,0.02649249634011522,0.030666237572828936
Qwen1.5-32B-Chat,verse,long,0.05,long,128,1.1541448034346105,-0.3258651815354825,-0.3971889379123848,0.03748609073676263,0.0713237563769023
Qwen1.5-32B-Chat,verse,long,0.05,single,128,1.1541448034346105,-0.35159987434744844,-0.4097709792355697,0.04143259514542055,0.05817110488812127
Qwen1.5-32B-Chat,verse,long,0.1,long,256,1.1541448034346105,-0.4884831182658673,-0.6527761054535707,0.06995668996728525,0.16429298718770335
Qwen1.5-32B-Chat,verse,long,0.1,single,256,1.1541448034346105,-0.5512952886521817,-0.5781654872000218,0.05341227049726399,0.02687019854784012
Qwen1.5-32B-Chat,verse,long,0.2,long,512,1.1541448034346105,-0.8352824665606022,-1.0437690916160742,0.04581758393653994,0.208486625055472
Qwen1.5-32B-Chat,verse,long,0.2,single,512,1.1541448034346105,-0.8208231888711454,-0.9110319010913374,0.015097387950497677,0.090208712220192
Qwen1.5-32B-Chat,verse,long,0.3,long,768,1.1541448034346105,-1.21169488504529,-1.4037483123441536,0.023021556647372262,0.19205342729886365
Qwen1.5-32B-Chat,verse,long,0.3,single,768,1.1541448034346105,-1.0630447007715702,-1.1445293488601844,0.008737000027316288,0.08148464808861422
Qwen1.5-32B-Chat,verse,long,0.5,long,1280,1.1541448034346105,-1.5141956873238087,-1.8238440183301767,0.027223936774425438,0.309648331006368
Qwen1.5-32B-Chat,verse,long,0.5,single,1280,1.1541448034346105,-1.4677722312510015,-1.5358929025630157,0.0992136842750364,0.06812067131201416
Qwen1.5-32B-Chat,summarization,long,0.05,long,128,1.0683939076960087,-0.34768303185701377,-0.2738473563144605,0.037967082543822306,-0.07383567554255327
Qwen1.5-32B-Chat,summarization,long,0.05,single,128,1.0683939076960087,-0.19699584618210797,-0.1570924617350102,0.026779113719100172,-0.03990338444709776
