model,task,T,capture,mean_layer,jac_vs_LF,jac_vs_ST,rho_vs_LF,val_jaccard
OLMo-2-1124-13B-DPO,verse,all,0.32184067368507385,12.575,0.8604651162790697,0.08843537414965986,0.9624509083422086,0.8604651162790697
OLMo-2-1124-13B-DPO,summarization,1,0.29912400245666504,16.675,0.059602649006622516,0.0738255033557047,0.030288227207737526,0.797752808988764
OLMo-2-1124-13B-DPO,summarization,4,0.30246150493621826,15.3875,0.08108108108108109,0.059602649006622516,0.1282709418952961,0.797752808988764
OLMo-2-1124-13B-DPO,summarization,16,0.3511434495449066,13.3625,0.23076923076923078,0.08843537414965986,0.37370626908502635,0.797752808988764
OLMo-2-1124-13B-DPO,summarization,all,0.4288867712020874,10.8875,0.797752808988764,0.059602649006622516,0.9621765029643539,0.797752808988764
Qwen1.5-32B-Chat,verse,1,0.3085913360118866,36.8125,0.14285714285714285,0.06224066390041494,0.27460926042935463,0.8028169014084507
Qwen1.5-32B-Chat,verse,4,0.2879321873188019,33.2734375,0.19626168224299065,0.044897959183673466,0.39542477420925926,0.8028169014084507
Qwen1.5-32B-Chat,verse,16,0.2960936725139618,32.734375,0.3403141361256545,0.053497942386831275,0.6844078503085841,0.8028169014084507
Qwen1.5-32B-Chat,verse,all,0.32384762167930603,34.875,0.8028169014084507,0.05785123966942149,0.9541222475604506,0.8028169014084507
Qwen1.5-32B-Chat,summarization,1,0.36359134316444397,49.609375,0.05785123966942149,0.007874015748031496,0.020948561657479697,0.7655172413793103
Qwen1.5-32B-Chat,summarization,4,0.31971442699432373,40.453125,0.14285714285714285,0.06224066390041494,0.12744456895620213,0.7655172413793103
Qwen1.5-32B-Chat,summarization,16,0.3260120749473572,40.6875,0.2132701421800948,0.04918032786885246,0.2791413168878238,0.7655172413793103
Qwen1.5-32B-Chat,summarization,all,0.37928155064582825,38.7421875,0.7655172413793103,0.044897959183673466,0.9591460188362524,0.7655172413793103
