model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
OLMo-2-1124-13B-DPO,summarization,0.05,2,256,0.0078,10240,10240,768,3,0.975343,0.684179,0.062346,0.621832
OLMo-2-1124-13B-DPO,summarization,0.05,4,256,0.0156,10240,10240,768,3,0.983983,0.799014,0.099507,0.699507
OLMo-2-1124-13B-DPO,summarization,0.05,8,256,0.0312,10240,10240,768,3,0.994056,0.927436,0.20714,0.720296
OLMo-2-1124-13B-DPO,summarization,0.05,16,256,0.0625,10240,10240,768,3,0.996672,0.982783,0.364474,0.618308
OLMo-2-1124-13B-DPO,summarization,0.05,24,256,0.0938,10240,10240,768,3,0.998078,0.989986,0.486999,0.502987
OLMo-2-1124-13B-DPO,summarization,0.05,32,256,0.125,10240,10240,768,3,0.998706,0.993637,0.580096,0.413541
OLMo-2-1124-13B-DPO,summarization,0.05,48,256,0.1875,10240,10240,768,3,0.999346,0.996738,0.718664,0.278074
OLMo-2-1124-13B-DPO,summarization,0.05,64,256,0.25,10240,10240,768,3,0.999656,0.998128,0.825849,0.172279
OLMo-2-1124-13B-DPO,summarization,0.05,96,256,0.375,10240,10240,768,3,0.999927,0.999566,0.954192,0.045374
OLMo-2-1124-13B-DPO,summarization,0.05,128,256,0.5,10240,10240,768,3,1.0,0.999999,0.999781,0.000218
OLMo-2-1124-13B-DPO,summarization,0.05,2,384,0.0052,10240,10240,768,3,0.977236,0.776135,0.059843,0.716292
OLMo-2-1124-13B-DPO,summarization,0.05,4,384,0.0104,10240,10240,768,3,0.979779,0.809307,0.087348,0.721959
OLMo-2-1124-13B-DPO,summarization,0.05,8,384,0.0208,10240,10240,768,3,0.991108,0.939611,0.170815,0.768797
OLMo-2-1124-13B-DPO,summarization,0.05,16,384,0.0417,10240,10240,768,3,0.996635,0.982854,0.30598,0.676873
OLMo-2-1124-13B-DPO,summarization,0.05,24,384,0.0625,10240,10240,768,3,0.997505,0.98936,0.405695,0.583665
OLMo-2-1124-13B-DPO,summarization,0.05,32,384,0.0833,10240,10240,768,3,0.998493,0.992966,0.481324,0.511641
OLMo-2-1124-13B-DPO,summarization,0.05,48,384,0.125,10240,10240,768,3,0.999352,0.995703,0.606217,0.389486
OLMo-2-1124-13B-DPO,summarization,0.05,64,384,0.1667,10240,10240,768,3,0.999683,0.997162,0.702124,0.295038
OLMo-2-1124-13B-DPO,summarization,0.05,96,384,0.25,10240,10240,768,3,0.999866,0.998678,0.842011,0.156667
OLMo-2-1124-13B-DPO,summarization,0.05,128,384,0.3333,10240,10240,768,3,0.999945,0.999482,0.932844,0.066637
OLMo-2-1124-13B-DPO,summarization,0.05,2,512,0.0039,10240,10240,768,3,0.970213,0.723196,0.048465,0.674731
OLMo-2-1124-13B-DPO,summarization,0.05,4,512,0.0078,10240,10240,768,3,0.975904,0.803785,0.069879,0.733906
OLMo-2-1124-13B-DPO,summarization,0.05,8,512,0.0156,10240,10240,768,3,0.989488,0.926177,0.142798,0.783379
OLMo-2-1124-13B-DPO,summarization,0.05,16,512,0.0312,10240,10240,768,3,0.995615,0.980439,0.261779,0.71866
OLMo-2-1124-13B-DPO,summarization,0.05,24,512,0.0469,10240,10240,768,3,0.996763,0.988069,0.348449,0.639621
OLMo-2-1124-13B-DPO,summarization,0.05,32,512,0.0625,10240,10240,768,3,0.997725,0.991842,0.417531,0.574311
OLMo-2-1124-13B-DPO,summarization,0.05,48,512,0.0938,10240,10240,768,3,0.999155,0.99476,0.530362,0.464398
OLMo-2-1124-13B-DPO,summarization,0.05,64,512,0.125,10240,10240,768,3,0.999598,0.996508,0.618963,0.377545
OLMo-2-1124-13B-DPO,summarization,0.05,96,512,0.1875,10240,10240,768,3,0.999807,0.998093,0.748184,0.249909
OLMo-2-1124-13B-DPO,summarization,0.05,128,512,0.25,10240,10240,768,3,0.999899,0.998917,0.844586,0.154331
OLMo-2-1124-13B-DPO,summarization,0.05,2,640,0.0031,10240,10240,768,3,0.974028,0.668528,0.048639,0.619889
OLMo-2-1124-13B-DPO,summarization,0.05,4,640,0.0063,10240,10240,768,3,0.977434,0.812727,0.065067,0.74766
OLMo-2-1124-13B-DPO,summarization,0.05,8,640,0.0125,10240,10240,768,3,0.99162,0.938267,0.12655,0.811717
OLMo-2-1124-13B-DPO,summarization,0.05,16,640,0.025,10240,10240,768,3,0.996145,0.982044,0.232106,0.749938
OLMo-2-1124-13B-DPO,summarization,0.05,24,640,0.0375,10240,10240,768,3,0.997038,0.988739,0.309211,0.679528
OLMo-2-1124-13B-DPO,summarization,0.05,32,640,0.05,10240,10240,768,3,0.998091,0.991851,0.372513,0.619339
OLMo-2-1124-13B-DPO,summarization,0.05,48,640,0.075,10240,10240,768,3,0.999108,0.994547,0.472207,0.52234
OLMo-2-1124-13B-DPO,summarization,0.05,64,640,0.1,10240,10240,768,3,0.999601,0.996263,0.556132,0.440131
OLMo-2-1124-13B-DPO,summarization,0.05,96,640,0.15,10240,10240,768,3,0.999808,0.997796,0.680574,0.317221
OLMo-2-1124-13B-DPO,summarization,0.05,128,640,0.2,10240,10240,768,3,0.999894,0.998703,0.776952,0.221751
OLMo-2-1124-13B-DPO,persona,0.05,2,64,0.0312,10240,10240,768,3,0.991149,0.778452,0.182304,0.596148
OLMo-2-1124-13B-DPO,persona,0.05,4,64,0.0625,10240,10240,768,3,0.995332,0.890337,0.23582,0.654517
OLMo-2-1124-13B-DPO,persona,0.05,8,64,0.125,10240,10240,768,3,0.998141,0.985996,0.423395,0.562601
OLMo-2-1124-13B-DPO,persona,0.05,16,64,0.25,10240,10240,768,3,0.999354,0.997707,0.732786,0.26492
OLMo-2-1124-13B-DPO,persona,0.05,24,64,0.375,10240,10240,768,3,0.999803,0.999503,0.912534,0.086969
OLMo-2-1124-13B-DPO,persona,0.05,32,64,0.5,10240,10240,768,3,1.0,0.99999,0.994486,0.005504
OLMo-2-1124-13B-DPO,persona,0.05,48,64,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,64,64,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,96,64,1.5,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,128,64,2.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,2,128,0.0156,10240,10240,768,3,0.975635,0.784234,0.099675,0.684559
OLMo-2-1124-13B-DPO,persona,0.05,4,128,0.0312,10240,10240,768,3,0.993448,0.847077,0.145844,0.701234
OLMo-2-1124-13B-DPO,persona,0.05,8,128,0.0625,10240,10240,768,3,0.996895,0.983596,0.301341,0.682254
OLMo-2-1124-13B-DPO,persona,0.05,16,128,0.125,10240,10240,768,3,0.998466,0.996447,0.531301,0.465146
OLMo-2-1124-13B-DPO,persona,0.05,24,128,0.1875,10240,10240,768,3,0.999098,0.997981,0.68283,0.315152
OLMo-2-1124-13B-DPO,persona,0.05,32,128,0.25,10240,10240,768,3,0.999522,0.998818,0.795202,0.203616
OLMo-2-1124-13B-DPO,persona,0.05,48,128,0.375,10240,10240,768,3,0.999883,0.999707,0.942847,0.05686
OLMo-2-1124-13B-DPO,persona,0.05,64,128,0.5,10240,10240,768,3,1.0,0.999998,0.9989,0.001098
OLMo-2-1124-13B-DPO,persona,0.05,96,128,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,128,128,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,0.05,2,256,0.0078,10240,10240,768,3,0.976633,0.720175,0.072184,0.647991
OLMo-2-1124-13B-DPO,persona,0.05,4,256,0.0156,10240,10240,768,3,0.986992,0.861893,0.099296,0.762597
OLMo-2-1124-13B-DPO,persona,0.05,8,256,0.0312,10240,10240,768,3,0.997116,0.985278,0.208911,0.776367
OLMo-2-1124-13B-DPO,persona,0.05,16,256,0.0625,10240,10240,768,3,0.99836,0.996199,0.376051,0.620148
OLMo-2-1124-13B-DPO,persona,0.05,24,256,0.0938,10240,10240,768,3,0.999082,0.997806,0.490919,0.506886
OLMo-2-1124-13B-DPO,persona,0.05,32,256,0.125,10240,10240,768,3,0.999312,0.99843,0.580006,0.418424
OLMo-2-1124-13B-DPO,persona,0.05,48,256,0.1875,10240,10240,768,3,0.999644,0.999052,0.722671,0.276381
OLMo-2-1124-13B-DPO,persona,0.05,64,256,0.25,10240,10240,768,3,0.999787,0.999425,0.82708,0.172345
OLMo-2-1124-13B-DPO,persona,0.05,96,256,0.375,10240,10240,768,3,0.999957,0.999873,0.955193,0.044679
OLMo-2-1124-13B-DPO,persona,0.05,128,256,0.5,10240,10240,768,3,1.0,0.999999,0.999799,0.000201
OLMo-2-1124-13B-DPO,persona,0.05,2,384,0.0052,10240,10240,768,3,0.983366,0.706906,0.064798,0.642109
OLMo-2-1124-13B-DPO,persona,0.05,4,384,0.0104,10240,10240,768,3,0.986247,0.857029,0.080788,0.776242
OLMo-2-1124-13B-DPO,persona,0.05,8,384,0.0208,10240,10240,768,3,0.996791,0.982236,0.167875,0.814361
OLMo-2-1124-13B-DPO,persona,0.05,16,384,0.0417,10240,10240,768,3,0.998363,0.996373,0.30164,0.694732
OLMo-2-1124-13B-DPO,persona,0.05,24,384,0.0625,10240,10240,768,3,0.99896,0.997506,0.399913,0.597593
OLMo-2-1124-13B-DPO,persona,0.05,32,384,0.0833,10240,10240,768,3,0.999318,0.998235,0.480263,0.517972
OLMo-2-1124-13B-DPO,persona,0.05,48,384,0.125,10240,10240,768,3,0.999574,0.998912,0.601659,0.397253
OLMo-2-1124-13B-DPO,persona,0.05,64,384,0.1667,10240,10240,768,3,0.999745,0.999268,0.698867,0.300401
OLMo-2-1124-13B-DPO,persona,0.05,96,384,0.25,10240,10240,768,3,0.999878,0.999638,0.843025,0.156613
OLMo-2-1124-13B-DPO,persona,0.05,128,384,0.3333,10240,10240,768,3,0.999948,0.999834,0.933315,0.066519
