model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
OLMo-2-1124-13B-DPO,bias,long,0.05,long,80,0.30501129229863483,-0.06538551797469455,0.0033218649526437216,0.008440642307202012,-0.06870738292733827
OLMo-2-1124-13B-DPO,bias,long,0.05,single,80,0.30501129229863483,-0.015287141005198124,0.0008543295164903097,0.008386918654044478,-0.016141470521688434
OLMo-2-1124-13B-DPO,bias,long,0.1,long,160,0.30501129229863483,-0.11559071391820905,0.010148974756399809,0.032656108339627565,-0.12573968867460886
OLMo-2-1124-13B-DPO,bias,long,0.1,single,160,0.30501129229863483,-0.03659345457951224,-0.004060174028078706,0.01396421839793524,-0.032533280551433535
OLMo-2-1124-13B-DPO,bias,long,0.2,long,320,0.30501129229863483,-0.13989003002643582,0.025270758817593275,0.05396589512626332,-0.1651607888440291
OLMo-2-1124-13B-DPO,bias,long,0.2,single,320,0.30501129229863483,-0.02634925146897632,0.012799618144830105,0.01753862202167511,-0.039148869613806425
OLMo-2-1124-13B-DPO,bias,long,0.3,long,480,0.30501129229863483,-0.12397643923759458,0.006246271232763945,0.004463056723276793,-0.13022271047035852
OLMo-2-1124-13B-DPO,bias,long,0.3,single,480,0.30501129229863483,-0.009522564709186554,-0.024541277438402176,0.01993207260966301,0.015018712729215622
OLMo-2-1124-13B-DPO,bias,long,0.5,long,800,0.30501129229863483,-0.13857939342657724,-0.05621144672234851,0.008913636207580566,-0.08236794670422873
OLMo-2-1124-13B-DPO,bias,long,0.5,single,800,0.30501129229863483,-0.0637324700752894,-0.04922239234050112,0.01016657302776973,-0.014510077734788282
OLMo-2-1124-13B-DPO,persona,long,0.05,long,80,0.764265350997448,0.03069714456796646,-0.05414840765297413,0.08490227721631527,0.08484555222094059
OLMo-2-1124-13B-DPO,persona,long,0.05,single,80,0.764265350997448,-0.06261914844314254,-0.01766706320146716,0.006233183667063713,-0.04495208524167538
OLMo-2-1124-13B-DPO,persona,long,0.1,long,160,0.764265350997448,-0.004558078944683075,-0.22630111935238045,0.006161966050664602,0.22174304040769738
OLMo-2-1124-13B-DPO,persona,long,0.1,single,160,0.764265350997448,-0.07770790904760361,-0.07624689862132072,0.016489800065755844,-0.0014610104262828827
OLMo-2-1124-13B-DPO,persona,long,0.2,long,320,0.764265350997448,-0.165504535039266,-0.2310199998319149,0.015348055710395214,0.06551546479264891
OLMo-2-1124-13B-DPO,persona,long,0.2,single,320,0.764265350997448,-0.11289705336093903,-0.18586259707808495,0.0009022963543733331,0.07296554371714592
OLMo-2-1124-13B-DPO,persona,long,0.3,long,480,0.764265350997448,-0.19644101709127426,-0.2840893591443698,0.01641090214252472,0.08764834205309552
OLMo-2-1124-13B-DPO,persona,long,0.3,single,480,0.764265350997448,-0.1442328070600828,-0.3689975688854853,0.03043236086765924,0.2247647618254025
OLMo-2-1124-13B-DPO,persona,long,0.5,long,800,0.764265350997448,-0.2414096469680468,-0.24508978674809137,0.11747498810291293,0.0036801397800445834
OLMo-2-1124-13B-DPO,persona,long,0.5,single,800,0.764265350997448,-0.27366098016500473,-0.33497029418746627,0.08815548196434977,0.061309314022461536
