model,task,n_samples,d_L,d_S,rho_mean,rho1,rho_perm,rho_excess,lab_L,lab_S,energy_L,energy_S,share_L,share_S,density_L,density_S,prfrac_L,prfrac_S,jaccard,peak_L,peak_S,peak,at_k_L,at_k_S,lab
Qwen1.5-14B-Chat,verse,640.0,10240.0,10240.0,0.9913878440856934,0.9958091974258423,0.3173055112361908,0.6740823328495026,0.6367387246536772,0.6287270094960816,0.05974678621464259,0.057113445497776215,0.05,0.05,1.1949357242928518,1.1422689099555243,0.9290107789767099,0.9126759681103472,0.03225806451612903,0.86,0.12,0.49,0.2,0.12,0.6327328670748794
Qwen1.5-32B-Chat,bias,640.0,16384.0,16384.0,0.9966830015182495,0.9987843632698059,0.3033354699611664,0.6933475315570832,0.38623300308728625,0.3889619770926537,0.0687639342538057,0.06580539830491582,0.05,0.05,1.3752786850761138,1.3161079660983162,0.8633046388363997,0.8627114288357505,0.04918032786885246,0.92,0.88,0.9,0.84,0.88,0.38759749008996996
Qwen1.5-32B-Chat,factual recall,616.0,16384.0,16384.0,0.9965119361877441,0.9987120628356934,0.32341594696044923,0.673095989227295,0.32117370022775565,0.3223814229809481,0.08203351519349744,0.08394324838666752,0.05,0.05,1.6406703038699488,1.6788649677333503,0.8586690847551759,0.858103025295328,0.06666666666666667,0.6,0.4,0.5,0.2,0.08,0.3217775616043519
Qwen1.5-32B-Chat,persona,640.0,16384.0,16384.0,0.9951702356338501,0.9980448484420776,0.3117490589618683,0.6834211766719818,0.37598316380107233,0.3746043852341404,0.08243658809896302,0.0706970722015828,0.05,0.05,1.6487317619792603,1.413941444031656,0.9266950406778224,0.8554724768796826,0.0847457627118644,0.12,0.06,0.09,0.0,0.0,0.37529377451760637
Qwen1.5-32B-Chat,summarization,640.0,16384.0,16384.0,0.9958726763725281,0.9981232285499573,0.3115148186683655,0.6843578577041626,0.14345530571568885,0.1406272623990863,0.07582481960889884,0.06575224297323835,0.05,0.05,1.5164963921779766,1.315044859464767,0.841250905438253,0.8296736179100249,0.044897959183673466,0.96,0.42,0.69,0.54,0.28,0.14204128405738758
Qwen1.5-32B-Chat,verse,640.0,16384.0,16384.0,0.993975818157196,0.9972662329673767,0.31730312705039976,0.6766726911067963,0.8132003069425774,0.8144057610382054,0.054239576589708884,0.045256166121377804,0.05,0.05,1.0847915317941776,0.905123322427556,0.8440216920469746,0.7611536772077564,0.053497942386831275,0.98,0.88,0.9299999999999999,0.88,0.48,0.8138030339903914
gemma-3-12b-it,bias,640.0,9120.0,9120.0,0.8730508685112,0.9664852619171143,0.31141570806503294,0.561635160446167,0.039142199496928834,0.025823898882759683,0.08689660621013472,0.06392984762722449,0.049479166666666664,0.049479166666666664,1.7562261465627227,1.2920558678344318,0.7806225549894265,0.8836117096482647,0.10144927536231885,1.0,1.0,1.0,0.8,0.42,0.03248304918984426
gemma-3-12b-it,factual recall,640.0,9120.0,9120.0,0.8101390600204468,0.9081830382347107,0.3155746817588806,0.4945643782615662,0.2520799783318784,0.17819647946515305,0.08741895997042867,0.06446312968210366,0.049479166666666664,0.049479166666666664,1.7667831909812954,1.3028337788383055,0.8999667172950176,0.7850280090403059,0.0410958904109589,0.52,0.56,0.54,0.08,0.18,0.21513822889851572
gemma-3-12b-it,persona,640.0,9120.0,9120.0,0.9854995012283325,0.9932267069816589,0.30983648300170896,0.6756630182266236,0.3924055088285976,0.4010868644513878,0.06701410690909992,0.045896419784532426,0.049479166666666664,0.049479166666666664,1.3543903712154932,0.9275907998558133,0.7828158510359688,0.8376286616196031,0.0410958904109589,0.92,0.92,0.92,0.02,0.0,0.3967461866399927
gemma-3-12b-it,summarization,640.0,9120.0,9120.0,0.8504613637924194,0.9573208093643188,0.3135342836380005,0.5369270801544189,0.26637654885127343,0.347122731422733,0.07425674737527706,0.05722080842463455,0.049479166666666664,0.049479166666666664,1.500767946952968,1.1564626544768246,0.9048104254683852,0.792129344873555,0.08571428571428572,1.0,0.98,0.99,0.34,0.22,0.30674964013700323
gemma-3-12b-it,verse,640.0,9120.0,9120.0,0.987028956413269,0.9939773082733154,0.3104809582233429,0.6765479981899262,0.6932555658176112,0.6922862579247219,0.054203811336866796,0.048142287677152264,0.049479166666666664,0.049479166666666664,1.0954875554398342,0.9729809720013932,0.8635487481282745,0.8066547086813152,0.10144927536231885,0.88,0.88,0.88,0.72,0.12,0.6927709118711665
