model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
Qwen1.5-14B-Chat,bias,long,0.5,single,800,0.7508353019754092,-0.37416018297274906,-0.4336174130439758,0.0030704960227012634,0.05945723007122672
Qwen1.5-14B-Chat,factual recall,long,0.05,long,80,0.7229050875951847,-0.17666853250314796,-0.3703079900393884,0.06754743618269762,0.19363945753624046
Qwen1.5-14B-Chat,factual recall,long,0.05,single,80,0.7229050875951847,-0.23175713171561563,-0.24394879614313447,0.018427236005663872,0.012191664427518845
Qwen1.5-14B-Chat,factual recall,long,0.1,long,160,0.7229050875951847,-0.4884970964243015,-0.5977265912418565,0.06162145081907511,0.10922949481755495
Qwen1.5-14B-Chat,factual recall,long,0.1,single,160,0.7229050875951847,-0.39234817586839205,-0.4870320356761416,0.0009158573423823091,0.09468385980774957
Qwen1.5-14B-Chat,factual recall,long,0.2,long,320,0.7229050875951847,-0.7587910406291485,-0.841002385384248,0.03587014346461126,0.0822113447550995
Qwen1.5-14B-Chat,factual recall,long,0.2,single,320,0.7229050875951847,-0.6897729206830263,-0.6880653115610282,0.053070529674490274,-0.0017076091219980771
Qwen1.5-14B-Chat,factual recall,long,0.3,long,480,0.7229050875951847,-0.8334279137973984,-0.9511402614492303,0.017595429400292573,0.1177123476518318
Qwen1.5-14B-Chat,factual recall,long,0.3,single,480,0.7229050875951847,-0.7909230732669433,-0.9171975331846625,0.0024314287584275007,0.12627445991771913
Qwen1.5-14B-Chat,factual recall,long,0.5,long,800,0.7229050875951847,-1.0419353588173788,-1.2574910189335546,0.062307252548635006,0.21555566011617588
Qwen1.5-14B-Chat,factual recall,long,0.5,single,800,0.7229050875951847,-1.0633796683202188,-1.1429644779612622,0.016880862414836884,0.07958480964104342
Qwen1.5-14B-Chat,persona,long,0.05,long,80,0.8217252443234125,0.03287900611758232,-0.07016088627278805,0.010802416130900383,0.10303989239037037
Qwen1.5-14B-Chat,persona,long,0.05,single,80,0.8217252443234125,-0.07891731709241867,-0.10797811175386107,0.009305164217948914,0.029060794661442402
Qwen1.5-14B-Chat,persona,long,0.1,long,160,0.8217252443234125,0.00568632284800219,-0.1781095800300439,0.0018239108224709644,0.1837959028780461
Qwen1.5-14B-Chat,persona,long,0.1,single,160,0.8217252443234125,-0.14251390223701788,-0.15697702020406717,0.024035791556040464,0.0144631179670493
Qwen1.5-14B-Chat,persona,long,0.2,long,320,0.8217252443234125,-0.2026595969994862,-0.3151587471365928,0.022485981384913145,0.1124991501371066
Qwen1.5-14B-Chat,persona,long,0.2,single,320,0.8217252443234125,-0.2511583516995112,-0.29952441031734145,0.0036742823819319037,0.048366058617830276
Qwen1.5-14B-Chat,persona,long,0.3,long,480,0.8217252443234125,-0.3278782616058985,-0.42718820770581556,0.01965820292631784,0.09930994609991706
Qwen1.5-14B-Chat,persona,long,0.3,single,480,0.8217252443234125,-0.3363258118430773,-0.4376811285813649,0.024164962271849305,0.10135531673828757
Qwen1.5-14B-Chat,persona,long,0.5,long,800,0.8217252443234125,-0.4845446348190307,-0.5103569577137629,0.0014315048853555945,0.025812322894732176
Qwen1.5-14B-Chat,persona,long,0.5,single,800,0.8217252443234125,-0.47714274128278095,-0.5624913598100344,0.050222404301166534,0.08534861852725345
