model,localization,patch_site,N,topk,w_rf
Qwen1.5-14B-Chat,verse-single,o_proj_in,8,1.0,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.01,0.06
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.03,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.05,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.07,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.09,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.1,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,0.5,0.0
Qwen1.5-14B-Chat,verse-single,o_proj_in,10,1.0,0.0
gemma-3-12b-it,verse-long,o_proj_out,1,0.01,0.02
gemma-3-12b-it,verse-long,o_proj_out,1,0.03,0.06
gemma-3-12b-it,verse-long,o_proj_out,1,0.05,0.06
gemma-3-12b-it,verse-long,o_proj_out,1,0.07,0.04
gemma-3-12b-it,verse-long,o_proj_out,1,0.09,0.06
gemma-3-12b-it,verse-long,o_proj_out,1,0.1,0.06
gemma-3-12b-it,verse-long,o_proj_out,1,0.5,0.14
gemma-3-12b-it,verse-long,o_proj_out,1,1.0,0.8
gemma-3-12b-it,verse-long,o_proj_out,2,0.01,0.04
gemma-3-12b-it,verse-long,o_proj_out,2,0.03,0.04
gemma-3-12b-it,verse-long,o_proj_out,2,0.05,0.1
gemma-3-12b-it,verse-long,o_proj_out,2,0.07,0.08
gemma-3-12b-it,verse-long,o_proj_out,2,0.09,0.1
gemma-3-12b-it,verse-long,o_proj_out,2,0.1,0.1
gemma-3-12b-it,verse-long,o_proj_out,2,0.5,0.8
gemma-3-12b-it,verse-long,o_proj_out,2,1.0,0.8
gemma-3-12b-it,verse-long,o_proj_out,4,0.01,0.1
gemma-3-12b-it,verse-long,o_proj_out,4,0.03,0.06
gemma-3-12b-it,verse-long,o_proj_out,4,0.05,0.24
gemma-3-12b-it,verse-long,o_proj_out,4,0.07,0.54
gemma-3-12b-it,verse-long,o_proj_out,4,0.09,0.74
gemma-3-12b-it,verse-long,o_proj_out,4,0.1,0.66
