layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
25,0.22408813,-0.37542725,0.17831528,0.09045777,-0.077693485,0.029446412,0.34383667,-0.33628052,-0.1487642,0.048771363,-0.15929322,-0.26735595,-0.278468,0.009637604,-0.43402466,0.026326904,-0.09739586,-0.52841496,0.17696351,0.0278833,0.04553131,0.22334595,0.29396898,-0.017122192,0.36097717,0.106714934,0.8061772,0.44885498,0.10383026,0.06275269,-0.312424,-0.3160547,0.11342285,-0.25124535,0.019904327,-0.17221649,0.06332794,-0.08549866,0.10611389,0.14993408
26,-0.2525116,-0.07298584,-0.48608094,0.61220795,-0.16973114,0.011530152,0.12617096,-0.22316407,0.12600128,-0.002407837,-0.021571046,0.12503204,0.022665406,0.07492783,-0.17262512,0.124705814,0.016036376,-0.85038024,0.0061665345,0.025115661,-0.21811432,0.19142334,-0.020934295,0.0977771,0.16068055,-0.024969025,0.10612671,0.09140594,0.21535416,-0.0575943,-0.17819703,0.20006226,0.001282959,0.008340149,-0.031607665,-0.10672485,0.13251251,0.17818299,0.38260743,-0.06709061
27,0.13121825,-0.058571853,-0.04201355,-0.0020529174,0.16298874,-0.07099976,0.40632325,0.06879761,-0.20386977,0.042758483,0.030798035,0.22994462,0.05680481,0.16846772,-0.08286987,0.0646463,0.24040268,0.8428528,0.104765624,0.1643689,-0.020899963,0.17294739,0.24031708,-0.13440186,-0.052617952,0.025599975,0.868512,0.1665689,0.025677338,-0.18937989,0.018440247,0.027331239,0.09197571,0.07625595,0.21480896,-0.0068161013,0.0438916,-0.12307144,0.027734833,0.092263795
28,-0.2827417,-0.17789535,-0.40155822,0.5968396,-0.29350525,-0.14943969,-0.023823548,-0.3745099,-0.030093994,0.021444244,-0.25362122,0.08715454,-0.020903854,0.1283963,-0.0408667,-0.17056076,-0.12748902,0.8459717,-0.12301697,-0.09218788,-0.121435545,0.13828674,-0.14580932,-0.20282403,-0.07740051,-0.005142212,0.99533445,-0.13941102,0.26964927,0.2793292,-0.02706848,0.09648438,0.02565918,0.2697479,-0.11536621,0.22186646,-0.20188552,-0.13508148,0.09367004,-0.05477295
29,0.12463379,-0.1252182,0.10173271,0.44576415,0.049953766,-0.16564804,0.026605224,0.08926956,-0.09652403,-0.13250183,-0.029452514,0.023124771,0.010151443,0.048151854,0.13999878,0.053986818,0.113564454,0.2926764,-0.008305664,0.056677245,0.113833465,0.12009277,0.08326172,0.0542778,0.1525766,0.02350769,0.52346647,0.13127887,-0.033860628,0.2606952,-0.13610718,-0.096465304,-0.013218079,0.08925461,0.045827333,-0.035008162,0.023857651,-0.03131378,-0.045090254,0.13947387
30,0.15754211,0.013691711,0.10272751,0.23581116,0.07257156,-0.06253388,0.12874877,-0.016386108,0.022729492,-0.13416809,0.25539842,0.10555908,-0.013390046,0.06818726,0.03139862,0.090031736,0.09913452,0.15990235,0.24882813,0.09428314,0.12185577,0.09653763,-0.22586243,0.06351387,0.0046296692,0.15219025,0.2869275,0.103147276,0.015954895,-0.06966186,-0.039510954,0.021317216,0.07527527,0.03171692,0.13732238,0.07357094,0.17555909,-0.2566748,-0.21027893,0.08279236
31,-0.13203613,0.1878173,0.030753326,-0.02741211,0.07194794,-0.032645416,0.11463135,-0.20150177,-0.056429747,-0.006642456,0.14413452,0.12338684,-0.021530151,0.02630127,0.10771194,0.15714936,0.06275085,-0.08084533,-0.052655336,-0.2794133,0.04365448,0.1810968,0.0720343,0.124703676,-0.051520385,0.14151551,-0.02055664,0.13225707,0.1287439,0.10210419,-0.1503891,0.060199585,-0.046142273,-0.13213989,-0.0030047607,-0.005650158,-0.03338455,-0.17665772,-0.013676148,-0.15940414
32,0.08903259,0.16410644,0.12330856,0.12292023,0.0865155,0.14003967,-0.07747406,-0.068179935,0.14746979,0.0021286774,0.004079895,0.07648743,0.147146,-0.2057544,0.19536942,0.15560578,-0.07819992,-0.48805267,0.09415161,0.2832129,-0.06122406,0.15243012,0.20678039,0.26593354,0.1726506,0.18526757,0.25100404,0.059896242,0.14801636,0.035497285,-0.11029015,-0.1310083,0.09397476,0.056478273,0.27548036,0.12764679,-0.10943237,0.084658206,0.026279297,-0.15778442
33,-0.12546997,0.024853516,0.16639343,-0.32060745,-0.17782456,-0.27582213,0.021807251,-0.19871338,-0.36322638,-0.23225892,-0.058098145,-0.19596557,0.16312286,0.05758148,0.10782959,0.049326017,-0.09686767,-0.014625244,-0.18826142,-0.10377197,0.043779906,-0.048738554,-0.009463348,0.14794068,0.067945555,0.24955517,-0.20516907,0.2700537,-0.15576172,-0.1492447,0.46711853,-0.25345826,0.16838257,0.13762848,-0.12109955,-0.31832886,-0.3188617,-0.40021628,0.12077972,-0.49252623
34,0.023948975,0.08195404,0.19790696,-0.20999847,-0.010662232,-0.18966202,-0.07692505,-0.18555054,-0.3931665,-0.3585962,0.13690186,-0.087436825,0.1713733,-0.34325257,0.22560944,-0.2263289,0.08436035,-0.15333557,-0.070261076,-0.109899215,-0.23371628,0.15397644,-0.07593414,-0.030003661,0.11807312,0.6393027,-0.20959839,-0.08579468,0.22486496,0.028439332,-0.42915285,0.13301879,-0.042346496,0.07110031,0.035971984,-0.17444679,0.11031372,-0.03743347,0.109898984,0.111693725
35,0.04606491,-0.0974997,-0.044019166,-0.2680127,-0.26154268,-0.08040894,0.32797363,-0.3226648,-0.4128975,-0.14911804,-0.15948525,-0.031414185,-0.113156736,-0.07779053,0.3768045,-0.4282968,-0.083656006,0.13993713,-0.26247802,-0.012373047,-0.16099243,-0.10480469,-0.046323244,-0.13562073,0.22068466,0.12025284,0.035753176,-0.16761369,0.16235413,0.22438248,-0.46573257,-0.1264296,-0.08652252,0.03678284,0.08825192,-0.18341339,-0.082778014,-0.2569548,-0.16266602,-0.18091813
36,-0.08875183,-0.01949524,-0.106723554,0.0017315674,0.10456055,-0.09929161,0.16076966,0.018214416,-0.01973877,0.22785904,0.18965515,0.079718016,0.05793701,0.06997193,0.3168979,-0.050338745,0.024000244,-0.008826751,0.12762329,0.04809021,-0.06938965,-0.006205444,-0.023664627,0.46995118,0.09280106,0.051923826,-0.0555719,0.06910522,-0.12141327,0.21155396,-0.05589111,-0.2530342,-0.15800689,0.12523697,-0.008755569,0.00544693,-0.1601564,0.1827388,0.10951126,-0.08142578
37,-0.11125419,-0.06399903,-0.081227414,-0.04572052,-0.051506422,-0.1352127,-0.094141155,0.12043747,0.124289855,0.08895096,0.022873383,-0.10172547,-0.07676056,0.0022729493,-0.0526561,0.26076415,0.070341185,0.3734546,-0.06470703,-0.19168778,-0.20663543,0.071216434,-0.10471962,0.14868408,-0.11250381,-0.07210083,0.34660035,-0.003793335,-0.034655455,0.051151123,-0.198638,-0.12325958,-0.08623451,-0.01634613,-0.067766726,-0.01550232,-0.10314026,-0.064628296,-0.023897706,-0.26148316
38,0.09649475,-0.09114075,-0.05784363,-0.24278717,-0.038042754,0.02319641,-0.009984131,-0.13167877,-0.028139649,-0.27072936,-0.075167544,-0.24814515,-0.19500503,-0.10759278,-0.02051178,0.052796938,-0.09075424,-0.13680497,-0.24677216,-0.2438832,-0.12143097,0.061525572,-0.052221525,-0.18427582,0.14839463,-0.4033081,-0.35898194,-0.18787079,-0.18535507,-0.0071740723,-0.948739,-0.11097534,-0.26344588,-0.015227966,-0.11245361,-0.118538514,-0.13563843,-0.1901593,0.058544844,-0.089405976
39,0.08800293,-0.09472069,0.03980194,0.07040802,-0.15846497,-0.011932373,-0.008056031,-0.0005183411,-0.075317994,-0.18764831,-0.18976898,-0.1149765,-0.37647706,-0.32268828,-0.20386963,-0.11112625,-0.7384531,0.48539793,-0.20092285,-0.5036011,-0.19082077,0.081682436,-0.09630295,-0.10920166,0.15645751,-2.744375,-0.14136307,0.01979248,-0.036686707,-0.33545655,-2.5127833,-0.42155212,-0.3077182,-0.20399871,-0.20331603,-0.3925348,-0.0026919555,-0.4232148,-0.21382934,0.12668274
