layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
21,0.01429184,0.0136093525,-0.03606598,0.013243675,0.032289047,0.025474606,-0.00065549853,-0.022797642,0.0057592774,0.013043156,-0.000765152,0.041072845,0.010626526,0.010207291,0.021586532,-0.036588002,-0.0027387238,0.037502173,0.0017272568,0.02183441,0.00034881593,0.042933274,0.028406601,0.009381714,0.028114205,0.011676636,0.028095856,0.052008666,-0.007443862,-0.0062633515,-0.009795494,0.005851326,-0.010702086,0.028688049,-0.0035875703,-0.027554322,-0.011651926,0.021052703,0.022905279,0.04027855
22,0.050606154,0.06533547,0.06119667,0.05213602,0.07002655,0.057619438,0.032237243,0.036658153,0.035392303,0.057421975,0.0453331,0.09524689,0.06617859,0.06331978,0.09268829,0.047045592,0.066105954,0.062157974,0.083755665,0.068907775,0.04061203,0.07831034,0.048729096,0.04812738,0.039844017,0.055478152,0.032254804,0.08610146,0.04738016,0.061620828,0.049244728,0.030270118,0.06679321,0.07635054,0.03959938,0.04165644,0.05245266,0.0063374327,0.06382503,0.058641855
23,0.08851242,0.085291,0.0833036,0.07639244,0.074838564,0.054519653,0.073640555,0.04353546,0.06585319,0.046529043,0.071340725,0.08712342,0.057666626,0.07164459,0.07166999,0.06737369,0.059500128,0.09048126,0.08365845,0.058254853,0.06775741,0.046140138,0.07127602,0.08666896,0.060360413,0.0555764,0.075912625,0.09017811,0.0705077,0.09928909,0.10429039,0.053198203,0.07281907,0.08804215,0.059981138,0.08888754,0.08273499,0.09770813,0.07484872,0.06646351
24,0.094237976,0.061409865,0.081539005,0.083655395,0.093742676,0.09154114,0.06477577,0.07742434,0.06966217,0.052526988,0.06252724,0.09321289,0.07929245,0.07157803,0.0686433,0.094599,0.09289259,0.086770326,0.10083404,0.08012878,0.06694336,0.07373241,0.08978302,0.08273285,0.07995329,0.096909106,0.08997022,0.079124756,0.0718827,0.090656206,0.0985141,0.08425385,0.08506256,0.10046051,0.078595124,0.07350067,0.08390785,0.07054335,0.0649797,0.05869011
25,0.037166175,0.026890326,0.04412735,0.018615723,0.0139492415,0.026773872,0.023690566,0.020749988,0.043396417,0.020695115,0.042413026,0.031881083,0.018121108,0.026355209,0.049084738,0.033689804,0.024082337,0.044995803,0.030006409,0.008593044,0.018968659,0.03354946,0.043454666,0.020581283,0.030476836,0.056431808,0.009611969,0.056315888,0.033098374,0.046359826,0.04163372,0.04148842,0.031286165,0.02961708,0.01176754,0.0062419893,0.021591034,0.016828537,0.026098615,0.0057476806
26,-0.0041088057,-0.0023875379,-0.005411415,0.008569684,0.00018221856,0.0075328257,0.01654867,0.017914085,-0.003848772,-0.0206495,-0.0022515105,0.0020234298,-0.0014805985,0.008065543,0.0024619293,-0.0029629515,0.0139163975,0.00472777,0.005074887,0.0023760796,-0.0030568314,0.008137474,-0.012926007,-0.005831795,-0.003114319,-0.021919798,0.0009747028,0.0018823814,-0.0061154603,-0.005996208,-0.002827556,0.007870179,-0.014766903,0.006756487,0.0012187958,-0.013892114,-0.012048731,0.007351341,0.005006294,0.003822899
27,-0.0028105832,0.008776169,-0.011560202,0.023396645,0.006465597,-0.004745724,0.020624304,-0.009611902,-0.0038436698,0.0096764,0.016898908,-0.0024190904,0.006907177,0.0033224202,0.005267458,0.013440638,0.0022933101,0.018142795,0.00092142104,0.00498621,-0.003699951,-0.0054660034,0.013742027,0.0061081694,0.018896803,0.010294528,0.0017503834,0.014241657,-0.008810387,0.016305313,-0.0027492165,0.007126799,-0.0052880095,-0.0036194993,0.003382206,-0.00056612014,0.004582558,0.005510483,-0.009120331,0.013056784
28,0.045570947,0.028040696,0.053436775,0.047254447,0.031655367,0.03641014,0.03358696,0.044875383,0.028341599,0.027161788,0.037861787,0.04291035,0.03467676,0.027650222,0.036718674,0.024165649,0.039649755,0.061090365,0.040616456,0.03501379,0.050609536,0.036037292,0.030760728,0.036382936,0.039411277,0.039874498,0.02691717,0.033217087,0.046408158,0.033255767,0.03208916,0.03877938,0.04617464,0.043418303,0.024232177,0.020263977,0.029533196,0.02712677,0.037032127,0.03384941
29,0.038315926,0.035933245,0.04088768,0.04207431,0.031151876,0.047542237,0.03845863,0.040503923,0.039306335,0.014977302,0.019439746,0.04090126,0.043008976,0.050867006,0.035134487,0.030247841,0.053787306,0.04223595,0.048692513,0.03129816,0.016630515,0.035559844,0.031337567,0.040916063,0.042923927,0.042798925,0.03585602,0.036241703,0.028551789,0.046591233,0.051212844,0.026716404,0.038489297,0.050812837,0.0340522,0.045821723,0.040558167,0.0413976,0.030367952,0.017682038
30,-0.0026774788,0.0043250322,0.0004545808,-0.0005506325,0.002174617,0.0019544791,-0.012165413,0.013562002,0.005260315,0.01386806,0.0014044571,-0.003524728,-0.0041665174,0.0037799836,-0.0013331175,0.007472744,-0.008982125,0.013680363,0.0049204635,-0.0017436504,-0.0026766444,0.0036734033,-0.003975029,0.0017792046,-0.00217247,0.001642456,-0.0010381889,0.006796675,0.009572239,-0.0018089962,0.0029916572,-0.0033303595,0.0036298083,0.00079036714,-0.005707755,0.0050447844,-0.00053195,0.008306294,0.0028693771,-0.00047858237
31,0.0039764405,0.0019260788,0.010346318,0.008926468,-0.0026132201,-0.0002165985,0.009101334,-0.0051275063,0.004321227,0.00508728,0.0052744485,0.0081952,0.0021109772,0.0099790525,-0.006296663,0.02177002,0.014727059,0.012167053,9.189606e-05,0.0051200963,0.0043712617,0.01849577,-0.006304417,-0.004604001,-0.0034217502,0.02277194,0.008760624,-0.0062599946,-0.0017819214,-0.006714344,-0.005485954,0.0042705154,0.00032165527,-0.008871398,0.013478932,0.006692467,0.0012662506,0.0034728288,0.007530479,0.0071762083
32,0.019245835,0.006851444,0.010303164,0.0019331265,0.018441362,0.006314144,0.022036027,0.024881821,0.021199914,0.01067915,0.018080402,-0.00227808,0.011501922,0.016287003,0.013960418,0.026283512,0.008430076,0.019439735,0.0071414183,0.013672517,0.009063053,0.013150472,0.010115938,0.009072423,0.01523838,0.008340692,0.0086379,0.008069534,0.008952251,0.012913814,0.0070338156,0.018523427,0.021436749,0.0095409965,-0.0045351028,0.010968017,0.02174674,0.022038573,0.019236412,0.009524827
33,0.0056251907,0.0006676388,0.008821382,0.005924201,0.0068526114,0.010201063,0.007304027,-0.0025658894,0.00020961762,0.012161898,0.0038289928,-0.0008196497,0.009735527,0.004123268,0.010683794,0.006785431,0.008617367,0.015810777,0.013054545,0.015418091,-0.00851738,0.012786517,0.012627754,0.013182764,0.015805455,0.0127317235,0.0025008775,0.011860552,0.009414291,0.012032261,0.0061145425,0.0020092868,0.009651241,-0.00093536376,0.007823839,0.013160515,0.0163484,0.0047099423,0.002691536,-0.0047585107
34,0.009467573,-0.0032699013,-0.0010816955,-0.001485424,-0.014597778,-0.0043374915,0.010600567,0.00046600343,0.002078948,0.0014841509,0.0028379918,-0.0045749475,-0.0032993078,-0.0006862366,0.0020660781,0.0041033886,-0.0033817578,0.017256217,0.007840471,-0.004997177,-0.0066392994,0.017663002,0.015099755,0.005903759,0.0050005913,0.0038320255,0.010244754,0.0028082847,0.01130806,0.00033058168,0.01087862,-0.004830952,0.004372797,0.0033791352,0.00064088823,0.0034565353,-0.0065597673,-0.0054325485,-0.0059011457,0.002955358
35,0.03469412,0.014348195,0.02365119,0.04153141,0.021147309,0.017694836,0.027584424,0.013289337,0.017017936,0.011241341,0.013855133,0.017189045,0.020172253,0.030385971,0.029876605,0.023824215,0.010158381,0.032149736,0.015538349,0.025026526,0.011285629,0.012378988,0.0128639415,0.01261158,0.0061834906,-0.0021667671,0.020282555,0.012205506,0.019146595,0.027433777,0.028184071,0.019846892,0.024876177,0.016221084,0.018411046,0.006127162,0.027479991,0.024169063,6.6719054e-05,0.012519112
36,-0.0013820624,-0.009534512,0.0015245628,-0.007429936,0.00508719,-0.007856426,-0.017730039,-0.008411426,-0.0036841393,-6.408691e-06,-0.008584631,-0.016365213,0.005470885,-0.005960841,-0.0019977188,-0.0027306653,-0.0043628598,-0.0029030228,-0.0014281487,-0.0012153721,-0.0053904722,0.002842064,-0.00082846644,0.0022507096,-0.002629528,-0.012030282,-0.0017018318,-0.0054653166,-0.0024902343,-0.0032018756,-0.0018766022,0.0033831643,0.0005909997,-0.009899301,0.0010133695,-0.012939815,0.00054193975,-0.0030249024,-0.017477402,0.0010162544
37,0.044219665,0.0288377,0.02702816,0.02578434,0.02909645,0.019886337,0.031238632,0.018882053,0.021048212,0.02305954,0.0322406,0.028233252,0.02532196,0.036221217,0.03683666,0.039000053,0.03095337,0.03517582,0.029467488,0.021121887,0.03277422,0.02550354,0.024671897,0.028724037,0.030476607,0.028802281,0.020834733,0.025398865,0.02209033,0.033284914,0.044205513,0.023902664,0.04115055,0.026953746,0.027774276,0.029159145,0.029526072,0.03014861,0.028138665,0.02667755
38,0.009285297,0.008224354,0.011710434,0.0051612044,0.014965649,-0.00017440796,-0.0068739583,0.009799662,0.014594679,0.008044982,0.006157513,0.009465561,0.0054065525,0.009669724,0.004676466,0.012590384,-0.0028166198,0.0036936188,0.011009808,0.015207019,0.009813919,0.008444214,0.0059275054,0.0010081482,0.002167902,0.015101576,0.0084795905,0.0051974296,0.007266979,0.004131565,0.013430357,-0.00024116517,0.0016810608,0.009619751,0.008311605,0.010088835,-0.00585351,0.010525474,0.0096108625,0.006491306
39,-0.02335276,-0.017012186,-0.019832859,-0.011260149,-0.030006146,-0.02291516,-0.021116143,-0.027414227,-0.023428688,-0.008086043,-0.019313745,-0.03023651,-0.022690391,-0.036131155,-0.02684412,-0.02200365,-0.029139366,-0.03123024,-0.036844406,-0.029558295,-0.017181344,-0.031121282,-0.017591143,-0.030939197,-0.023858553,0.0008818722,-0.01632187,-0.021608558,-0.020069085,-0.031107062,-0.032982673,-0.024367094,-0.032159425,-0.024401283,-0.019619828,-0.023215123,-0.02478241,-0.019478932,-0.03198102,-0.031980287
