model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.09,0.98,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.1,0.76,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.5,1.0,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,1.0,1.0,2.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.01,0.02,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.03,0.84,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.05,0.92,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.07,0.78,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.09,0.64,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.1,0.82,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.5,0.72,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,1.0,0.94,6.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.01,0.96,6.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.03,1.0,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.05,0.96,4.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.07,1.0,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.09,1.0,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.1,1.0,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.5,1.0,6.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,1.0,1.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.03,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.05,0.28,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.07,0.54,5.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.09,0.28,4.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.1,0.16,4.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.01,0.02,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.03,0.08,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.05,0.34,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.07,0.16,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.09,0.32,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.1,0.24,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.5,0.02,5.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,1.0,0.1,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.01,0.12,5.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.03,0.08,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.05,0.2,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.07,0.06,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.09,0.02,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.1,0.06,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,0.5,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,w_rf,1.0,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.03,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.05,0.28,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.07,0.6,5.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.09,0.66,8.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.1,0.98,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.5,1.0,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,1.0,1.0,8.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.01,0.02,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.03,0.08,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.05,0.7,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.07,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.09,0.62,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.1,0.8,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.5,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,1.0,0.98,5.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.01,1.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.03,1.0,6.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.05,0.98,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.07,1.0,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.09,1.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.1,1.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,0.5,1.0,8.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,long,wo_rf,1.0,1.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,0.02,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,1.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.05,1.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.07,1.0,4.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.09,0.02,2.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.1,0.12,2.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,0.96,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.05,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.07,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.09,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.1,1.0,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.5,1.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,1.0,1.0,1.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.01,0.24,4.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,single,single,wo_rf,0.03,0.0,10.0
