model,source,steer,topk,N,w,wo,task
Qwen1.5-32B-Chat,verse-single,verse-single,0.07,8,0.32,0.44,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.09,6,0.5,0.5,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.1,6,0.88,0.9,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.5,2,0.0,0.04,verse
Qwen1.5-32B-Chat,verse-single,verse-single,1.0,1,0.0,0.06,verse
gemma-3-12b-it,paragraph-long,paragraph-long,0.01,10,0.08,0.08,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.03,8,0.22,0.22,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.05,8,0.34,0.34,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.07,10,0.5,0.5,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.09,10,0.8,0.82,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.1,10,0.88,0.88,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,0.5,4,1.0,1.0,paragraph
gemma-3-12b-it,paragraph-long,paragraph-long,1.0,4,0.98,1.0,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.01,1,0.0,0.0,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.03,1,0.0,0.0,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.05,1,0.0,0.0,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.07,10,0.06,0.08,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.09,10,0.02,0.02,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.1,10,0.0,0.04,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,0.5,10,0.22,0.3,paragraph
gemma-3-12b-it,paragraph-long,paragraph-single,1.0,8,0.42,0.6,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.01,10,0.06,0.06,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.03,10,0.22,0.22,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.05,8,0.22,0.24,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.07,10,0.36,0.4,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.09,10,0.68,0.68,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.1,10,0.76,0.76,paragraph
gemma-3-12b-it,paragraph-single,paragraph-long,0.5,4,0.96,1.0,paragraph
