model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,2,0.07,0.02
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,2,0.09,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,2,0.1,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,2,0.5,0.08
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,2,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.01,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.03,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.05,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.07,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.09,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.1,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,w_rf,1,1.0,0.1
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.01,0.0
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.03,0.04
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.05,0.02
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.07,0.02
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.09,0.02
Falcon3-10B-Instruct,atp,steer,from_verse-long_to_prose,long,single,wo_rf,10,0.1,0.02
